EmployeeId,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
2,37,1.0,Travel_Rarely,1141,Research & Development,11.0,2,Medical,1,Female,61,1,2,Healthcare Representative,2,Married,4777.0,14382,5.0,No,15.0,3,1,0,15.0,2.0,1,1.0,0.0,0.0,0.0
3,51,1.0,Travel_Rarely,1323,Research & Development,4.0,4,Life Sciences,1,Male,34,3,1,Research Scientist,3,Married,2461.0,10332,8.5,Yes,12.0,3,3,3,18.0,2.0,4,10.0,0.0,2.0,7.0
4,42,0.0,Travel_Frequently,555,Sales,26.0,3,Marketing,3,Female,77,3,4,Sales Executive,2,Married,13525.0,14864,5.0,No,14.0,3,4,1,23.0,2.0,4,18.0,4.0,4.0,8.0
7,40,0.0,Travel_Rarely,1124,Sales,1.0,2,Medical,2,Male,57,1,2,Sales Executive,4,Married,7457.0,13273,2.0,Yes,22.0,4,3,3,6.0,2.0,2,4.0,3.0,0.0,2.0
8,55,1.0,Travel_Rarely,725,Research & Development,2.0,3,Medical,4,Male,78,3,5,Manager,1,Married,17490.875,21199,5.0,Yes,13.0,3,4,1,24.0,2.0,3,5.0,2.0,1.0,4.0
9,36,0.0,Travel_Frequently,635,Research & Development,18.0,1,Medical,2,Female,73,3,1,Laboratory Technician,4,Single,2153.0,7703,1.0,No,13.0,3,1,0,8.0,2.0,3,8.0,1.0,1.0,7.0
10,32,0.0,Travel_Rarely,1018,Research & Development,3.0,2,Life Sciences,3,Female,39,3,3,Research Director,4,Single,11159.0,19373,3.0,No,15.0,3,4,0,10.0,4.5,3,7.0,7.0,7.0,7.0
11,25,0.0,Travel_Rarely,583,Sales,4.0,1,Marketing,3,Male,87,2,2,Sales Executive,1,Married,4256.0,18154,1.0,No,12.0,3,1,0,5.0,1.0,4,5.0,2.0,0.0,3.0
12,20,1.0,Travel_Rarely,129,Research & Development,4.0,3,Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,2973.0,13008,1.0,No,19.0,3,2,0,1.0,2.0,3,1.0,0.0,0.0,0.0
14,42,0.0,Travel_Rarely,810,Research & Development,23.0,5,Life Sciences,1,Female,44,3,4,Research Director,4,Single,15992.0,15901,2.0,No,14.0,3,2,0,16.0,2.0,3,1.0,0.0,0.0,0.0
